"adoptionYN","weight_kg","neuterYN","sex","positives","negatives","group_akc","grdp","economy","hospital_num","color"
0,20,0,0,1,0,0,25323187.6669948,63007146.53,22,7
1,4,0,0,0,0,6,33275552.096932,63007146.53,17,0
1,4.5,0,1,0,0,6,33275552.096932,63007146.53,17,5
0,11,0,1,0,0,0,33275552.096932,63007146.53,17,7
1,3.8,0,0,0,0,5,33275552.096932,63007146.53,17,7
0,0.2,0,0,0,0,0,33275552.096932,63007146.53,17,7
0,0.2,0,1,0,0,0,33275552.096932,63007146.53,17,3
0,0.2,0,1,0,0,0,33275552.096932,63007146.53,17,7
0,0.2,0,1,0,0,0,33275552.096932,63007146.53,17,7
0,0.2,0,1,0,0,0,33275552.096932,63007146.53,17,3
0,0.2,0,1,0,0,0,33275552.096932,63007146.53,17,3
0,8,0,1,0,0,0,33275552.096932,63007146.53,17,5
0,5,0,1,0,0,0,33275552.096932,63007146.53,17,6
1,3,0,1,0,0,0,33275552.096932,63007146.53,17,4
0,4,0,0,0,0,0,33275552.096932,63007146.53,17,0
1,25,0,1,0,0,0,33275552.096932,63007146.53,17,7
0,2.8,0,0,0,1,5,33275552.096932,63007146.53,17,7
1,3.5,0,1,1,1,0,22478306.9630981,63007146.53,52,7
1,4.8,0,0,0,1,0,22478306.9630981,63007146.53,52,6
0,7,0,0,0,0,0,98854600.8547036,75944547.79,24,7
1,3,0,1,0,0,0,98854600.8547036,75944547.79,24,7
0,3,0,0,0,0,0,98854600.8547036,75944547.79,24,7
1,3,0,0,0,0,0,98854600.8547036,75944547.79,24,0
1,3,0,0,0,0,0,98854600.8547036,75944547.79,24,0
1,5,1,0,0,0,6,98854600.8547036,75944547.79,24,5
1,5,0,1,0,2,5,39381922.9526442,69109259.7,95,7
1,17.5,2,0,0,0,6,22894408.9363199,69109259.7,9,5
0,7,0,0,1,0,0,31765707.6010859,76346776.59,12,0
0,6.5,0,1,2,0,0,31765707.6010859,76346776.59,12,7
1,5.5,0,1,2,0,0,31765707.6010859,76346776.59,12,1
0,7.5,0,0,2,0,0,31765707.6010859,76346776.59,12,7
0,3.5,0,0,1,0,0,31765707.6010859,76346776.59,12,6
0,2.8,0,0,2,0,0,31765707.6010859,76346776.59,12,6
0,2,0,0,2,0,0,31765707.6010859,76346776.59,12,1
0,2.4,0,0,2,0,0,31765707.6010859,76346776.59,12,1
0,1.5,0,1,2,0,0,31765707.6010859,76346776.59,12,0
0,8,0,0,1,0,0,31765707.6010859,76346776.59,12,5
0,6,0,1,0,2,0,31765707.6010859,76346776.59,12,7
1,3.6,0,1,1,0,0,31765707.6010859,76346776.59,12,6
0,25.5,0,0,2,0,1,31765707.6010859,76346776.59,12,5
0,20,0,0,0,0,0,38946655.6491715,76346776.59,39,7
1,5.4,0,1,1,0,0,15262551.4601223,76346776.59,50,5
1,6.6,0,0,1,0,0,15262551.4601223,76346776.59,50,1
1,6.4,0,0,1,0,0,15262551.4601223,76346776.59,50,5
0,1.1,0,1,1,0,0,15262551.4601223,76346776.59,50,5
0,1.4,0,1,1,0,0,15262551.4601223,76346776.59,50,5
0,15,0,0,1,0,0,15262551.4601223,76346776.59,50,4
0,7.1,0,0,1,3,0,15262551.4601223,76346776.59,50,2
0,2,0,0,1,0,0,15262551.4601223,76346776.59,50,7
0,1.7,0,0,2,1,0,15262551.4601223,76346776.59,50,7
1,1.1,0,0,1,0,0,15262551.4601223,76346776.59,50,7
1,1,0,0,1,0,0,15262551.4601223,76346776.59,50,7
0,3.4,0,0,1,2,0,15262551.4601223,76346776.59,50,7
0,14,0,0,1,2,0,15262551.4601223,76346776.59,50,1
0,14,0,0,2,2,6,15262551.4601223,76346776.59,50,1
1,20,0,0,0,0,0,15262551.4601223,76346776.59,50,1
0,3.8,0,1,0,0,0,15262551.4601223,76346776.59,50,7
1,4.6,0,0,1,0,0,15262551.4601223,76346776.59,50,0
1,3.9,0,1,1,0,0,15262551.4601223,76346776.59,50,0
1,4.3,0,1,1,0,0,15262551.4601223,76346776.59,50,0
0,5.4,0,1,2,0,6,15262551.4601223,76346776.59,50,5
0,17,0,1,0,1,0,15262551.4601223,76346776.59,50,5
0,20,0,0,0,1,0,15262551.4601223,76346776.59,50,0
0,5.8,0,0,1,2,0,15262551.4601223,76346776.59,50,5
0,5.2,0,0,1,2,0,15262551.4601223,76346776.59,50,5
0,0.2,0,1,1,0,0,15262551.4601223,76346776.59,50,6
0,20,2,1,0,0,0,38946655.6491715,76346776.59,39,7
0,20,2,1,0,0,0,38946655.6491715,76346776.59,39,7
1,5,1,0,2,0,6,14133034.1141113,94451870.68,47,5
0,6,0,0,0,0,8,43019545.1314854,69701608,10,4
0,12,2,0,0,1,0,23357610.8522124,69701608,8,6
0,3,0,1,1,0,0,23357610.8522124,69701608,8,7
0,22,2,1,0,0,8,23357610.8522124,69701608,8,7
0,5,2,1,1,0,0,20879804.8223416,69701608,3,7
0,3,2,1,0,0,5,34364239.9244645,69701608,16,7
