adoptionYN,age,season,neuterYN,sex,disease_cnt,positives,negatives,hair,grdp,economy,hospital_num,color
1,3,4,0,1,0,0,1,1,33275552.096932,63007146.53,17,4
1,3,4,0,1,1,0,1,1,33275552.096932,63007146.53,17,3
0,2,4,0,1,2,0,1,1,33275552.096932,63007146.53,17,0
1,2,4,0,1,0,1,0,1,31765707.6010859,76346776.59,12,6
1,2,4,0,1,0,1,0,1,31765707.6010859,76346776.59,12,6
1,8,4,2,2,1,0,0,0,40023583.7731676,67504454.42,12,6
1,4,4,2,2,3,0,0,0,40023583.7731676,67504454.42,12,0
0,1,4,0,1,1,0,1,1,33275552.096932,63007146.53,17,0
0,3,4,0,0,1,0,1,1,33275552.096932,63007146.53,17,3
0,4,4,0,0,1,0,0,1,22478306.9630981,63007146.53,52,3
1,1,4,0,1,0,1,0,1,22478306.9630981,63007146.53,52,3
1,1,4,0,1,4,0,1,1,37302596.0757604,65200878.26,4,6
0,4,4,0,1,0,0,1,1,31765707.6010859,76346776.59,12,4
0,2,4,0,0,0,0,0,1,31765707.6010859,76346776.59,12,7
0,4,4,0,0,0,0,1,1,27158848.0316349,76346776.59,32,5
0,2,4,0,1,2,0,0,1,15262551.4601223,76346776.59,50,6
0,4,4,0,2,1,0,0,1,19313998.4049644,76346776.59,106,6
1,3,4,1,0,0,1,0,0,64114080.1196187,76346776.59,52,0
0,6,4,1,0,0,0,1,1,42357301.7333154,76346776.59,109,6
0,4,4,2,2,3,0,0,1,22364426.6427768,64857342.12,8,3
1,1,4,0,1,0,0,0,1,22364426.6427768,64857342.12,8,5
0,2,4,2,2,0,0,0,1,107663270.348094,67098057.91,10,6
0,2,4,2,2,0,0,1,1,107663270.348094,67098057.91,10,5
0,2,4,2,0,0,1,1,1,107663270.348094,67098057.91,10,1
0,2,4,2,1,5,0,1,1,33727398.8802008,70346569.34,13,0
0,3,4,2,1,7,0,1,1,33727398.8802008,70346569.34,13,3
1,2,4,0,2,1,0,0,1,19775173.5837805,68354721.89,31,3
1,2,4,0,2,1,0,0,1,19775173.5837805,68354721.89,31,6
0,1,4,0,2,0,0,1,1,19775173.5837805,68354721.89,31,3
0,1,4,2,1,2,0,0,1,107663270.348094,67098057.91,10,0
0,3,4,2,2,2,0,0,0,40023583.7731676,67504454.42,12,6
1,1,4,0,0,3,0,1,1,35541357.8757259,69701608,36,4
1,1,4,0,1,0,0,0,1,22478306.9630981,63007146.53,52,3
0,1,4,0,1,3,0,1,1,37302596.0757604,65200878.26,4,5
0,2,4,0,1,2,0,0,1,38946655.6491715,76346776.59,39,2
1,3,4,0,1,0,2,0,1,15262551.4601223,76346776.59,50,0
1,1,4,0,1,1,0,2,1,38946655.6491715,76346776.59,39,0
1,1,4,0,1,1,0,2,1,38946655.6491715,76346776.59,39,0
1,1,4,0,0,1,0,2,1,38946655.6491715,76346776.59,39,5
1,1,4,0,1,0,0,0,1,42357301.7333154,76346776.59,109,6
0,1,4,2,1,0,0,0,1,37300552.7684342,70070777.38,35,6
0,1,4,2,1,0,0,0,1,21798903.3023383,69726813.32,33,7
0,1,4,0,2,0,0,1,1,60867596.7893044,64857342.12,11,3
0,5,4,2,1,0,0,1,1,107663270.348094,67098057.91,10,0
0,1,4,0,0,2,0,0,1,20789748.7632638,65200878.26,8,5
1,3,4,2,1,0,0,1,1,29507763.5213485,76346776.59,20,3
1,3,4,0,0,3,0,3,1,29507763.5213485,76346776.59,20,7
1,5,4,0,0,0,0,0,0,21798903.3023383,69726813.32,33,7
1,1,4,2,0,0,0,1,0,13911283.4482247,68354721.89,23,6
0,1,4,0,0,4,0,3,1,20089234.2715131,67098057.91,44,6
0,1,4,2,2,0,0,0,1,107663270.348094,67098057.91,10,6
0,1,4,2,2,0,0,0,1,107663270.348094,67098057.91,10,0
0,1,4,0,2,1,0,1,1,107663270.348094,67098057.91,10,6
0,3,4,1,1,0,1,0,1,51221391.5980468,94451870.68,29,3
0,6,4,2,1,3,0,0,1,29507763.5213485,76346776.59,20,2
0,1,4,0,0,0,0,2,1,29507763.5213485,76346776.59,20,3
0,3,4,0,1,1,0,0,1,26362984.3820037,65200878.26,28,2
0,2,4,0,0,2,0,0,1,26362984.3820037,65200878.26,28,2
0,1,4,2,2,0,0,0,0,40023583.7731676,67504454.42,12,2
1,3,4,0,1,0,0,0,1,33275552.096932,63007146.53,17,0
1,1,4,1,1,0,0,0,1,22478306.9630981,63007146.53,52,0
1,4,4,1,1,0,0,0,2,22478306.9630981,63007146.53,52,7
1,1,4,0,0,0,0,0,1,22478306.9630981,63007146.53,52,7
0,1,4,0,1,1,0,0,1,22478306.9630981,63007146.53,52,5
1,1,4,0,1,0,1,0,1,64114080.1196187,76346776.59,52,5
1,5,4,0,0,1,1,0,1,19942759.8023824,76346776.59,66,6
0,6,4,1,0,0,0,1,1,42357301.7333154,76346776.59,109,2
0,1,4,0,1,3,0,1,1,53232898.8929742,96001034.46,10,0
1,6,4,0,0,6,1,0,0,11434635.8651055,94451870.68,30,0
1,1,4,0,0,0,0,0,0,41183911.7953038,75944547.79,60,7
0,5,4,1,1,3,0,1,1,29507763.5213485,76346776.59,20,6
1,3,4,0,0,0,0,0,1,41172319.2309928,75944547.79,9,0
1,1,4,0,0,0,0,0,1,60867596.7893044,64857342.12,11,4
0,3,4,0,1,0,0,2,1,102737211.523899,75944547.79,19,3
1,1,4,2,2,0,0,0,1,107663270.348094,67098057.91,10,4
0,1,4,0,0,0,0,2,1,29959980.3664921,75944547.79,18,5
0,2,4,0,1,2,0,1,1,26490727.5045397,69109259.7,6,5
0,2,4,0,0,0,1,0,1,25814672.5698334,76346776.59,14,0
1,2,4,2,1,1,1,0,1,38946655.6491715,76346776.59,39,0
1,1,4,0,1,3,0,0,1,19942759.8023824,76346776.59,66,0
0,1,4,0,0,3,0,1,1,91142526.6590945,96001034.46,28,6
0,2,4,2,1,0,0,0,1,21798903.3023383,69726813.32,33,4
0,2,4,2,1,0,0,0,1,21798903.3023383,69726813.32,33,4
0,2,4,0,0,0,0,0,1,21798903.3023383,69726813.32,33,6
0,2,4,2,1,0,0,0,1,21798903.3023383,69726813.32,33,0
0,2,4,0,0,0,0,0,1,21798903.3023383,69726813.32,33,6
0,1,4,2,2,4,0,2,1,37580147.5532783,68354721.89,36,0
1,4,4,2,0,3,1,0,1,122957457.266587,68354721.89,8,5
0,4,4,1,0,0,0,1,1,20089234.2715131,67098057.91,44,6
1,1,4,0,0,0,2,2,1,14133034.1141113,94451870.68,47,6
0,3,4,0,0,0,0,0,1,13911283.4482247,68354721.89,23,7
1,1,4,0,0,0,0,0,1,20227366.2698674,64857342.12,22,5
1,1,4,0,0,0,0,0,1,20227366.2698674,64857342.12,22,0
0,1,4,0,1,1,0,3,1,20227366.2698674,64857342.12,22,0
1,3,4,1,0,4,1,0,2,11434635.8651055,94451870.68,30,0
1,2,4,2,0,2,0,2,1,33727398.8802008,70346569.34,13,4
0,1,4,2,0,2,0,1,1,21798903.3023383,69726813.32,33,4
0,3,4,0,0,0,0,0,1,13911283.4482247,68354721.89,23,0
0,2,4,0,0,3,0,0,1,29928982.0236261,64857342.12,16,5
0,6,4,2,1,0,0,0,1,107663270.348094,67098057.91,10,6
0,2,4,0,1,5,0,0,1,107663270.348094,67098057.91,10,0
0,2,4,2,1,2,0,2,1,29507763.5213485,76346776.59,20,3
0,1,4,2,1,2,0,2,1,33727398.8802008,70346569.34,13,0
0,5,4,2,1,0,0,0,1,107663270.348094,67098057.91,10,0
